Date,Value
1,5.03
2,5.05
3,5.05
4,5.02
5,5
6,4.99
7,5.05
8,5.05
9,5.17
10,5.22
11,5.31
12,5.35
13,5.43
14,5.33
15,5.31
16,5.22
17,5.2
18,5.16
19,5.21
20,5.07
21,5.07
22,5.1
23,5.01
24,5.1
25,5.05
26,5.06
27,5.19
28,5.15
29,5.26
30,5.27
31,5.3
32,5.4
33,5.34
34,5.3
35,5.3
36,5.24
37,5.26
38,5.31
39,5.44
40,5.48
41,5.57
42,5.59
43,5.63
44,5.76
45,5.81
46,5.86
47,5.75
48,5.76
49,5.78
50,5.77
51,5.82
52,5.79
53,5.78
54,5.76
55,5.75
56,5.75
57,5.87
58,5.89
59,5.95
60,5.96
61,5.97
62,6.03
63,5.93
64,5.96
65,6.02
66,6.11
67,6.13
68,6.16
69,6.21
70,6.21
71,6.22
72,6.23
73,6.21
74,6.26
75,6.2
76,6.23
77,6.32
78,6.39
79,6.39
80,6.33
81,6.36
82,6.35
83,6.27
84,6.21
85,6.18
86,6.14
87,6.11
88,6.14
89,6.1
90,6.08
91,6
92,6
93,6.1
94,6.11
95,6.14
96,6.05
97,6.08
98,6.04
99,5.99
100,5.95
101,5.92
102,5.92
103,5.96
104,5.98
105,6.02
106,6.03
107,6.04
108,6
109,6.04
110,5.99
111,6.01
112,5.96
113,5.93
114,5.9
115,5.9
116,5.91
117,5.88
118,5.92
119,5.93
120,5.92
121,5.88
122,5.87
123,5.89
124,5.92
125,6.02
126,6.19
127,6.24
128,6.37
129,6.31
130,6.3
131,6.29
132,6.35
133,6.35
134,6.3
135,6.29
136,6.33
137,6.35
138,6.34
139,6.35
140,6.32
141,6.17
142,6.21
143,6.15
144,6.11
145,6.12
146,6.11
147,6.03
148,5.98
149,5.89
150,5.96
151,5.88
152,5.86
153,5.75
154,5.89
155,5.9
156,5.9
157,5.78
158,5.63
159,5.4
160,5.13
161,5.32
162,5.21
163,5.19
164,5.37
165,5.43
166,5.34
167,5.58
168,5.56
169,5.67
170,5.59
171,5.56
172,5.48
173,5.68
174,5.73
175,5.67
176,5.57
177,5.61
178,5.62
179,5.51
180,5.7
181,5.89
182,5.99
183,5.78
184,5.82
185,5.8
186,6.16
187,6.07
188,6.05
189,6.02
190,5.99
191,6.03
192,5.97
193,5.87
194,5.67
195,6.02
196,6
197,5.9
198,6.14
199,6.06
200,6.36
201,6.19
202,5.98
203,5.87
204,5.86
205,5.77
206,5.82
207,5.6
208,5.49
209,5.57
210,5.49
211,5.25
212,5.24
213,5.27
214,5.26
215,5.23
216,5.04
217,5.06
218,5.08
219,4.99
220,4.98
221,4.96
222,4.92
223,4.93
224,4.88
225,4.85
226,4.8
227,4.9
228,4.82
229,4.79
230,4.82
231,4.85
232,5.17
233,4.97
234,4.99
235,4.88
236,4.82
237,4.83
238,4.74
239,4.75
240,4.73
241,4.75
242,4.57
243,4.67
244,4.59
245,4.51
246,4.51
247,4.51
248,4.42
249,4.35
250,4.38
251,4.4
252,4.42
253,4.35
254,4.29
255,4.25
256,4.18
257,4.19
258,4.26
259,4.37
260,4.4
261,4.44
262,4.44
263,4.32
264,4.27
265,4.25
266,4.27
267,4.19
268,4.12
269,4.16
270,4.11
271,4.05
272,4.09
273,4.14
274,4.1
275,4.25
276,4.08
277,4.03
278,4
279,3.97
280,3.95
281,3.91
282,3.97
283,3.94
284,3.92
285,3.89
286,3.84
287,3.79
288,3.75
289,3.85
290,3.79
291,3.76
292,3.63
293,3.56
294,3.56
295,3.56
296,3.54
297,3.56
298,3.55
299,3.54
300,3.52
301,3.47
302,3.47
303,3.45
304,3.41
305,3.39
306,3.25
307,3.4
308,3.45
309,3.49
310,3.6
311,3.77
312,3.75
313,3.77
314,3.75
315,3.72
316,3.69
317,3.7
318,3.69
319,3.92
320,3.87
321,3.8
322,3.72
323,3.73
324,3.57
325,3.62
326,3.7
327,3.72
328,3.78
329,3.61
330,3.51
331,3.47
332,3.41
333,3.48
334,3.41
335,3.41
336,3.28
337,3.27
338,3.25
339,3.22
340,3.3
341,3.29
342,3.27
343,3.25
344,3.18
345,3.13
346,3.08
347,3.07
348,2.96
349,2.96
350,2.99
351,3.02
352,3.02
353,2.96
354,3.06
355,3.01
356,3.08
357,2.96
358,2.98
359,2.97
360,2.91
361,2.9
362,2.93
363,2.86
364,2.85
365,2.88
366,2.86
367,2.82
368,2.82
369,2.85
370,2.8
371,2.83
372,2.82
373,2.8
374,2.83
375,2.81
376,2.83
377,2.96
378,2.9
379,2.86
380,2.85
381,2.78
382,2.85
383,2.85
384,2.81
385,2.83
386,2.83
387,2.84
388,2.84
389,2.8
390,2.77
391,2.79
392,2.79
393,2.74
394,2.69
395,2.74
396,2.75
397,2.77
398,2.76
399,2.8
400,2.78
401,2.75
402,2.72
403,2.76
404,2.71
405,2.72
406,2.73
407,2.75
408,2.75
409,2.74
410,2.73
411,2.74
412,2.74
413,2.72
414,2.69
415,2.7
416,2.71
417,2.7
418,2.71
419,2.67
420,2.67
421,2.67
422,2.7
423,2.63
424,2.64
425,2.64
426,2.61
427,2.63
428,2.61
429,2.61
430,2.68
431,2.65
432,2.62
433,2.6
434,2.58
435,2.56
436,2.58
437,2.62
438,2.63
439,2.66
440,2.74
441,2.79
442,2.79
443,3.08
444,3.1
445,3.26
446,3.17
447,3.16
448,3.18
449,3.19
450,3.23
451,3.21
452,3.24
453,3.28
454,3.22
455,3.11
456,3.07
457,3.03
458,3.05
459,3.07
460,3
461,2.96
462,2.96
463,3.01
464,2.95
465,2.94
466,2.99
467,2.94
468,2.96
469,3
470,3.05
471,3.15
472,3.1
473,3.15
474,3.12
475,3.08
476,3.05
477,3.08
478,3.05
479,3.03
480,3.09
481,3.02
482,3.1
483,3.12
484,3.09
485,3.03
486,3.03
487,3.05
488,3.05
489,3.01
490,2.96
491,2.96
492,2.93
493,3.05
494,3
495,2.98
496,2.98
497,2.99
498,2.97
499,2.99
500,3.01
501,3.01
